Voie_ID,Nom_x,Distance (km),% Couverture correspondant (200m),Groupes nature voie,Énergie produite annuelle (kWh / m2 de panneau),Production pour 860m2 de panneau (kWh),SolarScore,latlon,Département,Région,temp_mean_c,sunshine_duration_mean_hour,ghi_mean_W_m2,Revenus annuels revente Enedis €,nbre annuel de charges velos,Eclairage urbain en Nbre lapamdaires alimentés/an,Equivalent conso annuelle en nbr de personnes,nbre annuel charges un BlueBus,nbre annuel km/BlueBus _12m
0,Voie Verte du Chemin d’Encochebérot,1.6,12.5,Voie verte,87.74,75456,C,"(43.62109781579031, 1.09673702748082)",Gers,Occitanie,14.0,8.0,159.0,9809,150912,377,34,277,62418
1,Voie Verte du canal de Saint-Martory,2.1,9.52,Voie verte,86.51,74399,C,"(43.5323431084653, 1.32295597087284)",Haute-Garonne,Occitanie,14.0,8.0,159.0,9672,148798,372,33,274,61543
2,Voie Verte de la Masse Pont-du-Casse-Agen,2.3,8.7,Voie verte,85.03,73126,C,"(44.216304129821, 0.6480315531906747)",Lot-et-Garonne,Nouvelle-Aquitaine,14.0,8.0,155.0,9506,146252,366,33,269,60490
3,Voie Verte des trois ponts Castelnau d’Estrétefonds,3.2,6.25,Voie verte,87.45,75207,C,"(43.76616910015008, 1.35618301280646)",Haute-Garonne,Occitanie,14.0,8.0,159.0,9777,150414,376,34,276,62212
4,Voie Verte des Berges de l'Ill à Mulhouse,3.3,6.06,Bord de rivière ou canal,77.1,66306,D,"(47.773977, 7.34639)",Haut-Rhin,Grand Est,12.0,8.0,142.0,8620,132612,332,30,244,54849
5,Voie Verte Saint-Dizier à Chancenay,3.6,5.56,Bord de voie ferrée,69.41,59693,E,"(48.63964486420447, 4.954392093262309)",Haute-Marne,Grand Est,12.0,7.0,134.0,7760,119386,298,27,219,49378
6,Voie Verte de l'estuaire à Talais,3.8,5.26,Bord de rivière ou canal,83.47,71784,C,"(45.474673, -1.068573)",Gironde,Nouvelle-Aquitaine,14.0,8.0,158.0,9332,143568,359,32,264,59380
7,Voie Verte de Colayrac-Saint-Cirq à Brax,3.8,5.26,Voie verte,84.12,72343,C,"(44.193207932432, 0.5743997146827722)",Lot-et-Garonne,Nouvelle-Aquitaine,14.0,8.0,155.0,9405,144686,362,33,266,59843
8,Voie Verte des Berges de la Garonne Agen-Boé,3.9,5.13,Bord de sentier,84.43,72610,C,"(44.158682561772245, 0.6126095497202623)",Lot-et-Garonne,Nouvelle-Aquitaine,14.0,8.0,155.0,9439,145220,363,33,267,60063
9,VL x - Voies Lyonnaises,4.4,4.55,Voie verte,86.89,74725,C,"(45.712917318325495, 4.84705989660762)",Métropole de Lyon,Auvergne-Rhône-Alpes,13.0,8.0,152.0,9714,149450,374,34,275,61813
10,V86 - Voie Verte de Boisse-Penchot à Bouillac (La Vallée du Lot à vélo V86),4.6,4.35,Bord de rivière ou canal,85.63,73642,C,"(44.57034900913551, 2.1589576053132924)",Aveyron,Occitanie,13.0,8.0,156.0,9573,147284,368,33,271,60917
11,Voie Verte de la Chalouette,4.8,4.17,Bord de voie ferrée,66.09,56837,E,"(48.42693, 2.07541)",Essonne,Ile-de-France,12.0,7.0,132.0,7389,113674,284,26,209,47016
12,Voie Verte de la vallée du Lot Douelle-Mercuès,5.0,4.0,Bord de voie ferrée,85.64,73650,C,"(44.4798760681002, 1.35638702402979)",Lot,Occitanie,14.0,8.0,155.0,9574,147300,368,33,271,60924
13,D1215 - Voie Verte de Talais (D1215) à l'Océan,5.1,3.92,Piste cyclable,89.27,76772,C,"(45.458547, -1.135331)",Gironde,Nouvelle-Aquitaine,14.0,8.0,158.0,9980,153544,384,35,282,63506
14,"EV5-V32 - Via Romea Francigena / Véloroute Lille-Paris, de Angres à Lens",5.2,3.85,Bord de sentier,63.29,54429,E,"(50.40525899999999, 2.76848006758006)",Pas-de-Calais,Hauts-de-France,12.0,7.0,125.0,7076,108858,272,24,200,45024
15,Voie de Lexos,5.2,3.85,Bord de voie ferrée,87.17,74966,C,"(44.02196399999998, 1.324089)",Tarn-et-Garonne,Occitanie,14.0,8.0,158.0,9746,149932,375,34,276,62012
16,RD600 - Voie Verte Le Tacot (RD 600),5.8,3.45,Bord de route,88.4,76024,C,"(45.62873, 4.525369)",Rhône,Auvergne-Rhône-Alpes,11.0,8.0,155.0,9883,152048,380,34,280,62888
17,Voie Verte des Bois Francs,6.1,3.28,Bord de sentier,66.35,57061,E,"(48.716592, 0.832472)",Eure,Normandie,11.0,7.0,131.0,7418,114122,285,26,210,47201
18,Voie Verte de l’Ennemane,6.1,3.28,Voie verte,63.0,54180,E,"(49.608541, 4.954576)",Ardennes,Grand Est,11.0,6.0,128.0,7043,108360,271,24,199,44818
19,Voie Verte Boucle de la Moselle tronçon 2,6.1,3.28,Bord de sentier,72.77,62582,D,"(48.65889899999999, 5.892032999999999)",Meurthe-et-Moselle,Grand Est,12.0,7.0,136.0,8136,125164,313,28,230,51768
20,V86 - Voie Verte de Flagnac à Bouquiès (La Vallée du Lot à vélo V86),6.6,3.03,Bord de rivière ou canal,85.63,73642,C,"(44.581546, 2.228577)",Aveyron,Occitanie,13.0,8.0,156.0,9573,147284,368,33,271,60917
21,Voie Verte de Toulouse à Portet par les bords de la Garonne (V83),6.6,3.03,Bord de rivière ou canal,88.34,75972,C,"(43.54539276346439, 1.42625607139507)",Haute-Garonne,Occitanie,14.0,8.0,160.0,9876,151944,380,34,279,62844
22,EV3 - La Scandibérique  / V56,6.8,2.94,Ancienne ligne ferrovière,83.49,71801,C,"(44.440643, -0.292061)",Gironde,Nouvelle-Aquitaine,14.0,8.0,152.0,9334,143602,359,32,264,59394
23,EV1 - Voie Verte Le Chemin de la Baie à Hendaye (EV1 Vélodyssée),6.8,2.94,Voie verte,80.4,69144,D,"(43.34261699999999, -1.786174)",Basse-Bidassoa,Pays basque autonome,15.0,8.0,154.0,8989,138288,346,31,254,57196
24,V 3004 - Voie Verte de l'Espiguette,7.0,2.86,Voie verte,109.95,94557,B,"(43.487409, 4.138128)",Gard,Occitanie,16.0,9.0,178.0,12292,189114,473,43,348,78218
25,Voie Verte de Seignosse-Océan à Tosse,7.0,2.86,Bord de voie ferrée,86.85,74691,C,"(43.687478, -1.417751)",Landes,Nouvelle-Aquitaine,15.0,8.0,157.0,9710,149382,373,34,275,61785
26,Voie Verte de la vallée de la Bièvre,7.1,2.82,Bord de voie ferrée,69.14,59460,E,"(48.669861, 7.051851999999999)",Moselle,Grand Est,11.0,7.0,136.0,7730,118920,297,27,219,49186
27,Voie verte de la Leysse et des Planeurs,7.1,2.82,Voie verte,86.87,74708,C,"(45.552953, 5.933481)",Savoie,Auvergne-Rhône-Alpes,12.0,8.0,156.0,9712,149416,374,34,275,61799
28,Voie Verte de Saint-Julien-en-Born à Contis-Plage,7.3,2.74,Bord de sentier,89.61,77065,C,"(44.06753, -1.310163)",Landes,Nouvelle-Aquitaine,15.0,8.0,160.0,10018,154130,385,35,283,63749
29,Itinéraire des Berges de la Rosselle,7.3,2.74,Voie verte,71.56,61542,D,"(49.141146608703295, 6.811136000456683)",Moselle,Grand Est,12.0,7.0,134.0,8000,123084,308,28,226,50908
30,Voie Verte Sarreguemines-Bliesbruck,7.4,2.7,Bord de voie ferrée,70.64,60750,D,"(49.112816, 7.121241)",Moselle,Grand Est,11.0,7.0,135.0,7898,121500,304,27,223,50253
31,Voie Verte Boucle de la Moselle tronçon 3,7.5,2.67,Bord de sentier,72.18,62075,D,"(48.635404, 5.974178)",Meurthe-et-Moselle,Grand Est,11.0,7.0,137.0,8070,124150,310,28,228,51349
32,Liaison Bart - St-Julien-lès-Montbéliard,7.5,2.67,Bord de route,73.73,63408,D,"(47.4909002323203, 6.69509603274827)",Doubs,Bourgogne-Franche-Comté,11.0,7.0,139.0,8243,126816,317,29,233,52451
33,Véloroute-Voie Verte Jurançon-Gan,7.6,2.63,Bord de route,72.71,62531,D,"(43.21788547930983, -0.389961201258302)",Pyrénées-Atlantiques,Nouvelle-Aquitaine,14.0,8.0,148.0,8129,125062,313,28,230,51726
34,Piste Les Essarts-le-Roi à Senlisse,7.7,2.6,Bord de sentier,63.61,54705,E,"(48.684068, 1.884611)",Yvelines,Île-de-France,11.0,7.0,129.0,7112,109410,274,25,201,45252
35,Voie Verte Sarreguemines-Hambach,7.7,2.6,Bord de voie ferrée,72.78,62591,D,"(49.049563, 7.026953)",Moselle,Grand Est,11.0,7.0,135.0,8137,125182,313,28,230,51776
36,V75 - Véloroute Montluçon - Diou / Voie Verte de Dompierre-sur-Besbre à Diou,7.8,2.56,Voie verte,77.43,66590,D,"(46.519282, 3.684874)",Allier,Auvergne-Rhône-Alpes,12.0,8.0,145.0,8657,133180,333,30,245,55084
37,"V16 / V32 / V33 - V16 / V32 / V33 / Voie verte du canal de Saint-Denis, de St-Denis à La Villette",7.8,2.56,Bord de rivière ou canal,64.53,55496,E,"(48.882991, 2.346702)",Paris,Ile-de-Frane,12.0,7.0,128.0,7214,110992,277,25,204,45907
38,Voie Verte Cahors - Arcambal (V86/V87),8.3,2.41,Voie verte,86.24,74166,C,"(44.44703754596179, 1.4469291442436)",Lot,Occitanie,14.0,8.0,155.0,9642,148332,371,33,273,61351
