Unnamed: 0,Nom,Lien,Début,Fin,Distance,Type voie,Nature voie,Revêtement,Carte,Coordonnées de début,Coordonnées de fin,Coordonnées milieu,Énergie produite annuelle (kWh / m2 de panneau)
0,Voie Verte du Chemin d’Encochebérot,https://www.af3v.org/les-voies-vertes/voies/1276-voie-verte-du-chemin-d-encocheberot,L ISLE JOURDAIN,L ISLE JOURDAIN,"1,6km",Voie verte lisse,voie verte,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=1.09673702748082,43.62109781579031,1.1131950619939002,43.6267673096849&crs=EPSG:4326","('1.09673702748082', '43.62109781579031')","('1.1131950619939002', '43.6267673096849')","(1.1049660447373602, 43.62393256273761)",246.32
1,Voie Verte du canal de Saint-Martory,https://www.af3v.org/les-voies-vertes/voies/1246-voie-verte-du-canal-de-saint-martory,CUGNAUX,TOURNEFEUILLE,"2,1km",Voie verte lisse,voie verte,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=1.32295597087284,43.5323431084653,1.3433622170553097,43.55502022774329&crs=EPSG:4326","('1.32295597087284', '43.5323431084653')","('1.3433622170553097', '43.55502022774329')","(1.333159093964075, 43.5436816681043)",242.65
2,Voie Verte de la Masse Pont-du-Casse-Agen,https://www.af3v.org/les-voies-vertes/voies/1136-voie-verte-de-la-masse-pont-du-casse-agen,PONT DU CASSE,AGEN,"2,3km",Voie verte lisse,Voie Verte,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=0.6480315531906747,44.216304129821,0.6696608866837562,44.22602284001947&crs=EPSG:4326","('0.6480315531906747', '44.216304129821')","('0.6696608866837562', '44.22602284001947')","(0.6588462199372155, 44.22116348492023)",273.37
3,Voie Verte des trois ponts Castelnau d’Estrétefonds,https://www.af3v.org/les-voies-vertes/voies/1278-voie-verte-des-trois-ponts-castelnau-d-estretefonds,CASTELNAU D ESTRETEFONDS,FRONTON,"3,2km",Voie verte lisse,Voie Verte,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=1.35618301280646,43.76616910015008,1.3659247959472003,43.78084206988599&crs=EPSG:4326","('1.35618301280646', '43.76616910015008')","('1.3659247959472003', '43.78084206988599')","(1.3610539043768302, 43.773505585018036)",244.18
4,Voie Verte des Berges de l'Ill à Mulhouse,https://www.af3v.org/les-voies-vertes/voies/132-voie-verte-des-berges-de-l-ill-a-mulhouse,MULHOUSE,SAUSHEIM,"3,3km",Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.34639,47.773977,7.362202,47.79706&crs=EPSG:4326","('7.34639', '47.773977')","('7.362202', '47.79706')","(7.354296, 47.7855185)",249.67
5,Voie Verte Saint-Dizier à Chancenay,https://www.af3v.org/les-voies-vertes/voies/300-voie-verte-saint-dizier-a-chancenay,ST DIZIER,CHANCENAY,"3,6km",Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=4.954392093262309,48.63964486420447,4.983534,48.664868&crs=EPSG:4326","('4.954392093262309', '48.63964486420447')","('4.983534', '48.664868')","(4.9689630466311545, 48.652256432102234)",276.71
6,Voie Verte de l'estuaire à Talais,https://www.af3v.org/les-voies-vertes/voies/336-voie-verte-de-l-estuaire-a-talais,TALAIS,TALAIS,"3,8km",Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-1.068573,45.474673,-1.045556,45.499208&crs=EPSG:4326","('-1.068573', '45.474673')","('-1.045556', '45.499208')","(-1.0570645, 45.4869405)",275.82
7,Voie Verte de Colayrac-Saint-Cirq à Brax,https://www.af3v.org/les-voies-vertes/voies/1248-voie-verte-de-colayrac-saint-cirq-a-brax,COLAYRAC ST CIRQ,BRAX,"3,8km",Voie verte lisse,voie verte,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=0.5743997146827722,44.193207932432,0.5800752689574861,44.22009478677359&crs=EPSG:4326","('0.5743997146827722', '44.193207932432')","('0.5800752689574861', '44.22009478677359')","(0.5772374918201291, 44.2066513596028)",273.68
8,Voie Verte des Berges de la Garonne Agen-Boé,https://www.af3v.org/les-voies-vertes/voies/1095-voie-verte-des-berges-de-la-garonne-agen-boe,AGEN,BOE,"3,9km",Voie verte lisse,Chemin,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=0.6126095497202623,44.158682561772245,0.6291352435990992,44.19047016830659&crs=EPSG:4326","('0.6126095497202623', '44.158682561772245')","('0.6291352435990992', '44.19047016830659')","(0.6208723966596807, 44.174576365039414)",272.48
9,VL x - Voies Lyonnaises,https://www.af3v.org/les-voies-vertes/voies/1290-voies-lyonnaises,LYON 01,LYON 09,"4,4km",Voie verte lisse,Voie  en site propre,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=4.84705989660762,45.712917318325495,4.85492938334978,45.749099110601094&crs=EPSG:4326","('4.84705989660762', '45.712917318325495')","('4.85492938334978', '45.749099110601094')","(4.850994639978699, 45.731008214463294)",255.75
