,Nom,SolarScore
0,Voie Verte du Chemin d’Encochebérot,C
1,Voie Verte du canal de Saint-Martory,C
2,Voie Verte de la Masse Pont-du-Casse-Agen,C
3,Voie Verte des trois ponts Castelnau d’Estrétefonds,C
4,Voie Verte des Berges de l'Ill à Mulhouse,D
5,Voie Verte Saint-Dizier à Chancenay,E
6,Voie Verte de l'estuaire à Talais,C
7,Voie Verte de Colayrac-Saint-Cirq à Brax,C
8,Voie Verte des Berges de la Garonne Agen-Boé,C
9,VL x - Voies Lyonnaises,C
10,V86 - Voie Verte de Boisse-Penchot à Bouillac (La Vallée du Lot à vélo V86),C
11,Voie Verte de la Chalouette,E
12,Voie Verte de la vallée du Lot Douelle-Mercuès,C
13,D1215 - Voie Verte de Talais (D1215) à l'Océan,C
14,"EV5-V32 - Via Romea Francigena / Véloroute Lille-Paris, de Angres à Lens",E
15,Voie de Lexos,C
16,RD600 - Voie Verte Le Tacot (RD 600),C
17,Voie Verte des Bois Francs,E
18,Voie Verte de l’Ennemane,E
19,Voie Verte Boucle de la Moselle tronçon 2,D
20,V86 - Voie Verte de Flagnac à Bouquiès (La Vallée du Lot à vélo V86),C
21,Voie Verte de Toulouse à Portet par les bords de la Garonne (V83),C
22,EV3 - La Scandibérique  / V56,C
23,EV1 - Voie Verte Le Chemin de la Baie à Hendaye (EV1 Vélodyssée),D
24,V 3004 - Voie Verte de l'Espiguette,B
25,Voie Verte de Seignosse-Océan à Tosse,C
26,Voie Verte de la vallée de la Bièvre,E
27,Voie verte de la Leysse et des Planeurs,C
28,Voie Verte de Saint-Julien-en-Born à Contis-Plage,C
29,Itinéraire des Berges de la Rosselle,D
30,Voie Verte Sarreguemines-Bliesbruck,D
31,Voie Verte Boucle de la Moselle tronçon 3,D
32,Liaison Bart - St-Julien-lès-Montbéliard,D
33,Véloroute-Voie Verte Jurançon-Gan,D
34,Piste Les Essarts-le-Roi à Senlisse,E
35,Voie Verte Sarreguemines-Hambach,D
36,V75 - Véloroute Montluçon - Diou / Voie Verte de Dompierre-sur-Besbre à Diou,D
37,"V16 / V32 / V33 - V16 / V32 / V33 / Voie verte du canal de Saint-Denis, de St-Denis à La Villette",E
38,Voie Verte Cahors - Arcambal (V86/V87),C
39,Voie Verte de Vendays-Montalivet à Montalivet-les-Bains,C
40,Piste cyclable Auch-Aubiet,C
41,Liaison Krautergersheim - Rosheim,D
42,Voie Verte de la vallée de l'Hers,C
43,V32 - Lille - Paris / Trans'Oise de Therdonne à Hermes,E
44,Liaison cyclable Belfort - Malsaucy,D
45,Voie Verte en Villeneuvois (V86),C
46,Voie Verte de Paladru,C
47,V830 - Voie Verte de Sète à Balaruc-le-Vieux,B
48,Voie Verte de la Haute Meurthe,D
49,Voie Verte de Strasbourg à La Wantzenau,D
50,"EV3 - Scandibérique / Trans'Oise, de Compiègne à Lacroix-St-Ouen",E
51,"Piste cyclable de l'ARC, de la Clairière de l'Armistice à Compiègne",E
52,Voie Verte des Kaolins,D
53,"EV6 - de l'Atlantique à la Mer Noire, de Cuffy (pont de Guétin) à Nevers",D
54,Piste du Vignac,C
55,Voie Verte Itinéraire Airbus A380 tronçon de l'Isle-Jourdain,C
56,Voie Verte Portes Bonheur - Chemin des Carrières,D
57,Véloroute - Voie Verte de l'Adour Maritime,D
58,Voies du Plan Vert de Chartres,E
59,"V50 / V52 - La Voie Bleue, Moselle-Saône à vélo, de Laneuveville-devant-Nancy à Méréville / Voie Verte Boucle de la Moselle - secteur Sud-Est",D
60,Véloroute-Voie Verte de la Vallée d’Ossau,D
61,V16 / V32 / V33 - de Colombes à St-Denis,E
62,Voie Verte du Camin d'Adour,C
63,"EV8 - La Vélittorale, de Le Barcarès à Canet-plage",B
64,Voie Verte Petiville - Villequier,E
65,Voie Verte de la Vallée de la Charentonne (Bernay - Broglie),E
66,Voie Verte du canal de Montech (Canal des 2 mers à vélo V80 et La Vagabonde V87),C
67,EV6 / V51 - Voie Verte de Bourbon-Lancy à Diou,D
68,"EV6 - de l'Atlantique à la Mer Noire / La Loire à vélo, de Savigny-en-Véron à Huismes",D
69,EV6 / V51 - Voie Verte Digoin - Paray-le-Monial,D
70,Piste cyclable La Barque - Trets,A
71,Voie Verte de Sainte-Livrade-sur-Lot à Le Temple-sur-Lot (V86),C
