,Nom,Lien,Début,Fin,Distance,Type voie,Nature voie,Revêtement,Carte,Coordonnées de début,Coordonnées de fin,Coordonnées milieu,% Couverture correspondant (200m),Groupes nature voie,Energie produite annuelle (kWh),Énergie produite annuelle (kWh / 860m2 de panneau),Unnamed: 0,SolarScore
0,Voie Verte du Chemin d’Encochebérot,https://www.af3v.org/les-voies-vertes/voies/1276-voie-verte-du-chemin-d-encocheberot,L isle jourdain,L isle jourdain,1.6,Voie verte lisse,voie verte,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=1.09673702748082,43.62109781579031,1.1131950619939002,43.6267673096849&crs=EPSG:4326","('1.09673702748082', '43.62109781579031')","('1.1131950619939002', '43.6267673096849')","(1.1049660447373602, 43.62393256273761)",12.5,Voie verte,87.74,75456.0,0,C
1,Voie Verte du canal de Saint-Martory,https://www.af3v.org/les-voies-vertes/voies/1246-voie-verte-du-canal-de-saint-martory,Cugnaux,Tournefeuille,2.1,Voie verte lisse,voie verte,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=1.32295597087284,43.5323431084653,1.3433622170553097,43.55502022774329&crs=EPSG:4326","('1.32295597087284', '43.5323431084653')","('1.3433622170553097', '43.55502022774329')","(1.333159093964075, 43.5436816681043)",9.52,Voie verte,86.51,74399.0,1,C
2,Voie Verte de la Masse Pont-du-Casse-Agen,https://www.af3v.org/les-voies-vertes/voies/1136-voie-verte-de-la-masse-pont-du-casse-agen,Pont du casse,Agen,2.3,Voie verte lisse,Voie Verte,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=0.6480315531906747,44.216304129821,0.6696608866837562,44.22602284001947&crs=EPSG:4326","('0.6480315531906747', '44.216304129821')","('0.6696608866837562', '44.22602284001947')","(0.6588462199372155, 44.22116348492023)",8.7,Voie verte,85.03,73126.0,2,C
3,Voie Verte des trois ponts Castelnau d’Estrétefonds,https://www.af3v.org/les-voies-vertes/voies/1278-voie-verte-des-trois-ponts-castelnau-d-estretefonds,Castelnau d estretefonds,Fronton,3.2,Voie verte lisse,Voie Verte,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=1.35618301280646,43.76616910015008,1.3659247959472003,43.78084206988599&crs=EPSG:4326","('1.35618301280646', '43.76616910015008')","('1.3659247959472003', '43.78084206988599')","(1.3610539043768302, 43.773505585018036)",6.25,Voie verte,87.45,75207.0,3,C
4,Voie Verte des Berges de l'Ill à Mulhouse,https://www.af3v.org/les-voies-vertes/voies/132-voie-verte-des-berges-de-l-ill-a-mulhouse,Mulhouse,Sausheim,3.3,Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.34639,47.773977,7.362202,47.79706&crs=EPSG:4326","('7.34639', '47.773977')","('7.362202', '47.79706')","(7.354296, 47.7855185)",6.06,Bord de rivière ou canal,77.1,66306.0,4,D
5,Voie Verte Saint-Dizier à Chancenay,https://www.af3v.org/les-voies-vertes/voies/300-voie-verte-saint-dizier-a-chancenay,St dizier,Chancenay,3.6,Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=4.954392093262309,48.63964486420447,4.983534,48.664868&crs=EPSG:4326","('4.954392093262309', '48.63964486420447')","('4.983534', '48.664868')","(4.9689630466311545, 48.652256432102234)",5.56,Bord de voie ferrée,69.41,59693.0,5,E
6,Voie Verte de l'estuaire à Talais,https://www.af3v.org/les-voies-vertes/voies/336-voie-verte-de-l-estuaire-a-talais,Talais,Talais,3.8,Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-1.068573,45.474673,-1.045556,45.499208&crs=EPSG:4326","('-1.068573', '45.474673')","('-1.045556', '45.499208')","(-1.0570645, 45.4869405)",5.26,Bord de rivière ou canal,83.47,71784.0,6,C
7,Voie Verte de Colayrac-Saint-Cirq à Brax,https://www.af3v.org/les-voies-vertes/voies/1248-voie-verte-de-colayrac-saint-cirq-a-brax,Colayrac st cirq,Brax,3.8,Voie verte lisse,voie verte,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=0.5743997146827722,44.193207932432,0.5800752689574861,44.22009478677359&crs=EPSG:4326","('0.5743997146827722', '44.193207932432')","('0.5800752689574861', '44.22009478677359')","(0.5772374918201291, 44.2066513596028)",5.26,Voie verte,84.12,72343.0,7,C
8,Voie Verte des Berges de la Garonne Agen-Boé,https://www.af3v.org/les-voies-vertes/voies/1095-voie-verte-des-berges-de-la-garonne-agen-boe,Agen,Boe,3.9,Voie verte lisse,Chemin,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=0.6126095497202623,44.158682561772245,0.6291352435990992,44.19047016830659&crs=EPSG:4326","('0.6126095497202623', '44.158682561772245')","('0.6291352435990992', '44.19047016830659')","(0.6208723966596807, 44.174576365039414)",5.13,Bord de sentier,84.43,72610.0,8,C
9,VL x - Voies Lyonnaises,https://www.af3v.org/les-voies-vertes/voies/1290-voies-lyonnaises,Lyon 01,Lyon 09,4.4,Voie verte lisse,Voie  en site propre,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=4.84705989660762,45.712917318325495,4.85492938334978,45.749099110601094&crs=EPSG:4326","('4.84705989660762', '45.712917318325495')","('4.85492938334978', '45.749099110601094')","(4.850994639978699, 45.731008214463294)",4.55,Voie verte,86.89,74725.0,9,C
10,V86 - Voie Verte de Boisse-Penchot à Bouillac (La Vallée du Lot à vélo V86),https://www.af3v.org/les-voies-vertes/voies/487-voie-verte-de-boisse-penchot-a-bouillac-la-vallee-du-lot-a-velo-v86,Boisse penchot,Bouillac,4.6,Voie verte lisse,Rivière,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.1589576053132924,44.57034900913551,2.2014223384311604,44.58272699999999&crs=EPSG:4326","('2.1589576053132924', '44.57034900913551')","('2.2014223384311604', '44.58272699999999')","(2.1801899718722266, 44.57653800456775)",4.35,Bord de rivière ou canal,85.63,73642.0,10,C
11,Voie Verte de la Chalouette,https://www.af3v.org/les-voies-vertes/voies/251-voie-verte-de-la-chalouette,Etampes,St hilaire,4.8,Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.07541,48.42693,2.13813,48.4332&crs=EPSG:4326","('2.07541', '48.42693')","('2.13813', '48.4332')","(2.10677, 48.430065)",4.17,Bord de voie ferrée,66.09,56837.0,11,E
12,Voie Verte de la vallée du Lot Douelle-Mercuès,https://www.af3v.org/les-voies-vertes/voies/28-voie-verte-de-la-vallee-du-lot-douelle-mercues,Douelle,Mercues,5.0,Voie verte lisse,Voie ferrée,Stabilisé peu roulant,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=1.35638702402979,44.4798760681002,1.4066408921258202,44.495465&crs=EPSG:4326","('1.35638702402979', '44.4798760681002')","('1.4066408921258202', '44.495465')","(1.381513958077805, 44.487670534050096)",4.0,Bord de voie ferrée,85.64,73650.0,12,C
